wavelength,Rh1_fit_norm,Rh3_fit_norm,Rh4_fit_norm,Rh5_fit_norm,Rh6_fit_norm
300,0.319228331,0.623386983,0.573988891,0.186153543,0.100632451
301,0.334697724,0.638408451,0.586310688,0.191322754,0.103328442
302,0.350569796,0.653389646,0.598648942,0.196591166,0.106033368
303,0.366830565,0.668310972,0.610993672,0.201959109,0.108747003
304,0.383464099,0.683152491,0.623334679,0.207426854,0.111469115
305,0.400452501,0.697893967,0.635661561,0.212994612,0.11419947
306,0.417775901,0.712514905,0.647963728,0.218662529,0.116937829
307,0.435412454,0.726994602,0.660230411,0.22443069,0.119683952
308,0.453338358,0.741312188,0.672450682,0.23029911,0.122437592
309,0.471527877,0.755446681,0.684613464,0.236267739,0.125198501
310,0.48995338,0.769377031,0.696707552,0.242336455,0.127966427
311,0.508585393,0.783082175,0.708721625,0.248505067,0.130741113
312,0.52739266,0.796541086,0.720644265,0.254773309,0.133522301
313,0.546342221,0.809732831,0.732463975,0.261140841,0.136309727
314,0.565399501,0.822636616,0.744169195,0.267607246,0.139103126
315,0.584528408,0.835231851,0.755748322,0.274172031,0.141902228
316,0.603691454,0.847498192,0.767189727,0.280834621,0.14470676
317,0.622849874,0.859415606,0.778481776,0.287594363,0.147516447
318,0.641963767,0.870964419,0.789612847,0.294450521,0.150331008
319,0.660992245,0.882125372,0.800571353,0.301402275,0.153150162
320,0.679893591,0.892879672,0.811345758,0.30844872,0.155973623
321,0.698625429,0.90320905,0.821924598,0.315588868,0.158801101
322,0.717144899,0.913095805,0.832296504,0.32282164,0.161632306
323,0.735408843,0.92252286,0.842450218,0.330145872,0.164466941
324,0.753373999,0.93147381,0.852374617,0.337560311,0.167304708
325,0.770997194,0.939932967,0.862058728,0.345063612,0.170145307
326,0.788235548,0.94788541,0.871491755,0.352654343,0.172988434
327,0.805046679,0.955317024,0.880663092,0.360330978,0.175833782
328,0.821388907,0.962214546,0.88956235,0.3680919,0.178681041
329,0.837221463,0.968565601,0.89817937,0.375935399,0.181529898
330,0.85250469,0.974358743,0.906504244,0.383859673,0.184380038
331,0.867200251,0.979583484,0.914527337,0.391862827,0.187231144
332,0.881271321,0.984230331,0.922239303,0.399942871,0.190082895
333,0.894682788,0.98829081,0.929631102,0.408097723,0.192934967
334,0.90740143,0.991757496,0.936694021,0.416325208,0.195787035
335,0.919396102,0.994624032,0.943419688,0.424623055,0.198638772
336,0.930637896,0.996885153,0.949800091,0.432988901,0.201489845
337,0.941100305,0.998536696,0.95582759,0.441420291,0.204339923
338,0.950759364,0.999575617,0.961494938,0.449914675,0.207188669
339,0.959593783,1,0.96679529,0.458469413,0.210035748
340,0.967585067,0.999809062,0.971722221,0.467081772,0.212880818
341,0.974717616,0.999003155,0.976269736,0.475748929,0.215723539
342,0.980978811,0.997583765,0.980432283,0.484467971,0.218563566
343,0.986359088,0.995553511,0.984204766,0.493235896,0.221400553
344,0.990851986,0.992916131,0.987582553,0.502049612,0.224234153
345,0.994454187,0.989676474,0.990561486,0.510905944,0.227064017
346,0.997165528,0.985840485,0.99313789,0.51980163,0.229889792
347,0.998989005,0.981415186,0.995308582,0.528733323,0.232711127
348,0.999930751,0.976408657,0.997070876,0.537697595,0.235527665
349,1,0.970830005,0.998422586,0.546690936,0.238339051
350,0.999209034,0.964689346,0.999362035,0.55570976,0.241144927
351,0.997573109,0.957997766,0.999888058,0.564750401,0.243944933
352,0.995110369,0.950767292,1,0.57380912,0.24673871
353,0.991841742,0.943010854,0.999697723,0.582882105,0.249525894
354,0.987790818,0.934742249,0.998981602,0.591965472,0.252306124
355,0.982983718,0.925976097,0.997852526,0.601055272,0.255079034
356,0.977448949,0.9167278,0.996311898,0.610147488,0.257844259
357,0.971217241,0.907013497,0.994361627,0.619238042,0.260601433
358,0.964321381,0.896850016,0.992004129,0.628322794,0.263350189
359,0.956796033,0.886254825,0.989242322,0.637397548,0.266090159
360,0.948677552,0.875245986,0.986079614,0.646458054,0.268820973
361,0.940003788,0.863842098,0.982519903,0.65550001,0.271542263
362,0.930813888,0.85206225,0.978567566,0.664519066,0.274253659
363,0.921148094,0.839925964,0.97422745,0.673510829,0.276954789
364,0.911047535,0.827453144,0.969504862,0.682470861,0.279645283
365,0.900554022,0.814664022,0.964405558,0.691394689,0.282324769
366,0.889709838,0.801579102,0.958935733,0.700277804,0.284992877
367,0.878557539,0.788219105,0.953102006,0.709115668,0.287649233
368,0.867139748,0.774604919,0.94691141,0.717903714,0.290293468
369,0.855498959,0.760757542,0.940371373,0.726637352,0.292925207
370,0.843677346,0.746698028,0.933489708,0.735311974,0.295544081
371,0.831716577,0.732447439,0.926274594,0.743922955,0.298149717
372,0.819657637,0.718026789,0.918734564,0.752465658,0.300741745
373,0.807540659,0.703456996,0.910878481,0.760935441,0.303319793
374,0.795404766,0.688758831,0.902715528,0.769327656,0.30588349
375,0.783287925,0.673952874,0.894255188,0.777637657,0.308432468
376,0.771226804,0.659059466,0.885507223,0.785860803,0.310966357
377,0.759256651,0.644098661,0.876481657,0.793992463,0.313484787
378,0.747411179,0.62909019,0.867188759,0.802028016,0.315987392
379,0.735722465,0.614053416,0.85763902,0.809962865,0.318473805
380,0.724220862,0.599007297,0.847843135,0.817792429,0.32094366
381,0.712934923,0.583970349,0.837811985,0.825512157,0.323396592
382,0.701891336,0.568960613,0.827556613,0.833117528,0.325832238
383,0.69111488,0.55399562,0.817088207,0.840604056,0.328250235
384,0.680628381,0.539092365,0.806418079,0.847967296,0.330650223
385,0.67045269,0.52426728,0.795557644,0.855202845,0.333031842
386,0.660606671,0.509536206,0.784518401,0.86230635,0.335394734
387,0.651107197,0.494914373,0.773311912,0.86927351,0.337738544
388,0.64196916,0.48041638,0.761949784,0.87610008,0.340062918
389,0.633205491,0.466056177,0.750443645,0.882781879,0.342367502
390,0.624827192,0.451847052,0.738805131,0.889314789,0.344651947
391,0.61684337,0.437801616,0.727045859,0.895694763,0.346915904
392,0.609261289,0.423931794,0.715177417,0.901917827,0.349159027
393,0.602086424,0.41024882,0.703211336,0.907980086,0.351380972
394,0.595322523,0.396763227,0.691159081,0.913877728,0.353581399
395,0.588971673,0.383484849,0.679032026,0.919607024,0.355759969
396,0.583034378,0.370422815,0.666841441,0.925164339,0.357916344
397,0.577509635,0.357585557,0.654598475,0.930546128,0.360050193
398,0.572395018,0.344980805,0.642314138,0.935748946,0.362161184
399,0.567686762,0.332615602,0.629999286,0.940769449,0.364248991
400,0.563379852,0.320496303,0.617664609,0.945604398,0.366313289
401,0.559468111,0.30862859,0.605320612,0.950250661,0.368353758
402,0.555944294,0.297017478,0.592977605,0.954705219,0.370370079
403,0.552800175,0.285667334,0.580645687,0.958965168,0.372361939
404,0.550026643,0.274581882,0.568334737,0.963027721,0.374329028
405,0.547613785,0.263764229,0.556054402,0.966890214,0.376271039
406,0.545550979,0.253216872,0.543814081,0.970550106,0.378187671
407,0.543826981,0.24294172,0.531622922,0.974004982,0.380078624
408,0.542430008,0.232940117,0.519489809,0.977252558,0.381943606
409,0.541347817,0.223212852,0.507423353,0.980290683,0.383782327
410,0.54056779,0.21376019,0.495431885,0.983117336,0.385594503
411,0.540077002,0.204581887,0.483523448,0.985730639,0.387379853
412,0.539862297,0.195677214,0.471705794,0.988128847,0.389138104
413,0.539910356,0.187044979,0.459986373,0.990310359,0.390868986
414,0.540207758,0.178683551,0.448372332,0.992273716,0.392572236
415,0.540741041,0.170590883,0.436870509,0.994017602,0.394247595
416,0.541496759,0.162764535,0.425487432,0.995540847,0.395894811
417,0.542461532,0.155201698,0.414229313,0.996842429,0.39751364
418,0.543622091,0.147899218,0.403102048,0.997921473,0.399103842
419,0.544965327,0.140853619,0.392111216,0.998777253,0.400665184
420,0.546478321,0.134061126,0.381262077,0.999409192,0.402197442
421,0.548148387,0.127517691,0.370559574,0.999816866,0.403700397
422,0.549963098,0.121219011,0.360008331,1,0.40517384
423,0.551910314,0.115160557,0.349612658,0.99995847,0.40661757
424,0.553978206,0.109337591,0.339376549,0.999692304,0.408031392
425,0.556155275,0.103745189,0.329303688,0.999201682,0.409415122
426,0.558430367,0.098378264,0.31939745,0.998486933,0.410768586
427,0.560792689,0.093231584,0.309660905,0.99754854,0.412091619
428,0.563231818,0.088299795,0.300096822,0.996387134,0.413384064
